facultynum,fac_reservation,effect1,effect2
217,0,0.08370117756538833,0.11226585272851863
218,0,-0.02197090037672601,-0.03888236481680997
219,0,-0.15830404297618716,-0.1516780811022561
220,0,0.01800769311636563,-0.00445322158332828
221,0,0.07019043393250843,-0.00421803269509637
222,0,0.06019075271043238,-0.12298988971869176
223,0,0.01788103260874127,0.04997495948692127
224,0,NA,-0.00691974144835128
225,0,-0.04438757183612461,-0.0430332429512207
226,0,9.065299750564544e-16,0.00923532055493794
227,0,0.02628477917076133,0.07888339075300652
228,0,-0.12192665447049704,-0.01000894208995606
229,0,0.03649294899486619,-0.12592396803638367
230,0,0.02991325189148058,-0.07745886206035787
231,0,0.02409221970285412,0.07083340518496989
232,0,NA,0.04599098979366395
233,0,-0.00295726453990086,-0.03171622466582986
234,1,0.06064865881454175,0.03516493207014278
235,1,-0.00138481338379773,-0.026364788551378
236,1,NA,0.06843102669428486
237,0,8.756258745290391e-17,-2.693754870577776e-17
238,0,-0.04214455920831433,-0.05633162021466386
239,0,NA,-3.7660455949689214e-16
240,0,2.84592347508092e-17,2.372567521565782e-16
241,0,NA,-0.01638478906812779
242,1,-0.02086570662439535,-0.11545989736843808
243,0,0.01914331315362161,0.0222487356765352
244,1,0.02545944293926782,0.03845831524469576
245,0,-0.08935415907690339,-0.12284067167721312
246,1,-2.9187529150967966e-17,2.6937548705777757e-16
247,1,-2.9187529150967966e-17,-9.428142047022215e-17
248,1,0.01991883563735694,0.03179764820941969
249,0,0.00172239347077374,-0.02098952160287287
250,1,0.02685659427784878,0.08211856181934916
251,0,NA,0.080152068768267
252,0,1.1313752567509427e-17,-3.0368441858100938e-15
253,1,-0.066159555213059,-0.02310551114555902
254,0,0.07057414567329909,0.05164318980733588
255,0,-0.01172165776193305,-0.03847084967634871
256,1,-0.13953511277774017,-0.14449817676252125
257,1,0.08170153490290812,0.15147695938367775
258,0,-1.6473549932257139e-15,-0.02196933914790277
259,0,0.03295018515960744,0.02590198056743134
260,1,-0.0480994342595651,-0.01937348431953713
261,1,NA,-0.02944666416857166
262,1,-0.0985631573228629,-0.0734858746837131
263,0,0.04097516555492201,0.05015644877709086
264,0,-0.04102007177185544,-0.02205672305803345
265,0,-0.1058100807578842,-0.06715132858869803
266,1,8.196655216977779e-16,-7.687069037994958e-15
267,0,4.545326575591232e-16,-2.656992533000295e-15
268,0,0.02754626865885922,0.031330978042396
269,0,0.03869606936404494,0.03622047964523187
270,0,0.02611772053093141,0.03501162536132182
271,1,-0.03490675431048788,-0.03672195444842604
272,1,0.05320268048022077,0.05492264330614267
273,0,-0.07707460040312492,-0.04500350766903478
274,1,NA,0.01123047950403469
275,0,0.19372735728557508,0.14607280328395925
276,1,0.0212275223475341,0.01395714924917467
277,1,-0.06901757143450765,-0.00671383821128801
278,0,0.02983355305777999,-0.0336492719240258
279,0,-7.98012329955955e-17,-2.697304565318962e-15
280,1,0.08144061168000594,0.1248081803612463
281,1,0.02393866664107745,-0.0088860695094554
282,1,0.04506197189444477,0.01312945770462865
283,0,0.01263453423845932,-0.00417101998779697
284,1,0.02094675855677242,0.00434260121009232
285,0,NA,-0.03736634521357344
286,1,0.1828146597142175,0.1695384882537553
287,1,NA,0.06344368007318077
288,1,-0.03282779035989994,-0.0025307652965413
289,1,-0.00797474797728903,-0.07297843695566596
290,1,-0.08359489297306212,-0.12026286413576304
291,0,NA,-0.01059443893578233
292,1,-0.01757932796434586,-0.03347133290576682
293,0,-0.11876479127820597,-0.12650528041323372
294,0,0.0696352924856604,0.08385469554154368
295,1,-0.10797651571037016,-0.095976536742525
296,1,0.00760136404987171,0.00734777382757651
297,0,-0.03771982390777753,-0.00938461244429626
298,1,-0.06426896206569482,-0.07251395666883781
299,0,NA,-0.03752579394671814
300,1,0.00315398943207955,0.01052525468239504
301,1,0.00840504576369712,0.02381329635667396
302,0,NA,NA
303,0,-0.03622815848909821,-0.09205767909295408
304,0,-0.01094533592627503,-0.04125755036132643
305,1,-0.05501602744665412,-0.01252096649281075
306,1,-0.0240125207699214,-0.04841926699766686
307,1,-0.02628496358122054,-0.06170626261014403
308,0,-0.08993868610687435,0.03839796037354572
309,0,-0.10227181204320002,-0.1060196104049906
310,NA,NA,NA
311,0,0.0063996954606576,0.00848765135598577
312,1,0.00882649677433892,0.00638671254452926
313,0,NA,0.00672404642402082
314,0,-0.01105423883780932,0.04168762524533552
315,1,0.04538661842006348,0.01627625734059341
316,1,0.05815918109525273,0.0404342029110455
317,1,NA,-0.05265917309670265
318,1,-0.03474026643512139,-0.1833115214967862
319,1,-0.05945107568827396,0.0027624420853831
320,1,-0.00868315443964551,0.1820921774635583
321,1,NA,-0.04895930166001097
322,0,0.02984246782605685,-0.2254508811421483
323,1,-4.820817298225279e-16,-6.1633113620102946e-15
324,0,NA,-0.01961521167985663
325,0,-0.0668593054683355,0.08526861730643542
326,1,0.09722800864206216,0.11822380196921402
327,0,0.02867423039799052,0.01131061132685547
328,0,-0.0930914208169036,-0.02390229037018692
329,0,0.01500807767289109,-0.06248782845205684
330,1,0.03798800939878529,0.06289717057448722
331,0,NA,-0.03101182227696122
332,0,-0.00547510242940865,0.0956449805999375
333,0,NA,0.04404829252136356
334,1,0.12747505284935093,0.16598066560377028
335,1,0.02911482390329326,0.08594170849597975
336,1,-0.1393837872891084,-0.09913827383837837
337,0,-0.02248658075626287,-0.04031580465149731
338,1,NA,-0.02530840539891009
339,1,NA,-0.03850259464740599
340,0,NA,0.04108216281514298
341,0,-0.06354181201687478,-0.05028950834762331
342,0,0.03327306760024408,0.08306745428061439
343,1,0.07455551841743642,0.09976716316254264
344,1,0.11589840016188248,0.15126487092639018
345,0,0.01933018853538756,-0.01804325365493962
346,1,0.02967259743781179,0.01632183625240921
347,1,-0.00400848604997278,8.2178444722195e-4
348,1,0.02910288914572266,0.01786906222303553
349,1,0.04873921497722793,0.09981975974754992
350,1,NA,-0.00582067349513884
351,0,-0.01001950310286274,-0.01650888141520572
352,1,NA,0.00978103340300832
353,0,NA,0.00916926880597235
354,0,0.02240539175491571,-0.0117392943777585
355,0,NA,-0.06489447068401405
356,0,-0.07569931882774655,-0.09714074819090812
357,0,0.06569140022863572,0.06684961209247808
358,1,0.04471132099896031,-0.00994937156016873
359,0,0.00498243902481008,-0.00814008674207444
360,0,-0.16487249135913967,-0.2366987255675818
361,1,8.545539116304508e-16,4.672727124470561e-15
362,1,0.287064960695805,0.29110324384838643
363,0,-0.00315398943207967,-0.01052525468240024
364,0,0.04948134795143526,0.02936598342826777
365,0,NA,-0.06172679987832057
366,1,-0.11136361128055676,-0.03964083428722828
367,1,-0.10337378238418932,-0.06903650075480568
368,0,0.0904409240978338,0.04358741382984094
369,1,NA,0.03837401034805678
370,0,-8.631960994957484e-4,-0.01789353734002114
371,0,0.02487557156991145,-0.0565792189811715
372,1,0.03990191179066406,0.00902134375315206
373,0,0.04698158617533642,0.06145151095060271
374,0,NA,-0.02218880008498636
375,0,-0.0910008724371177,-0.1216430517622155
376,1,0.01413213257281453,-0.01887656831776335
377,1,-0.00109085735422198,-0.08972210748874075
378,1,NA,0.07073225666906365
379,1,0.02459677822987787,-0.09326249081967128
380,1,NA,0.29997509931764976
381,0,NA,0.01841123577622124
382,1,-0.04399669041841751,-0.07372648132434145
383,0,-0.03713124985830865,-0.04106625416500075
384,0,-0.00374962301154988,0.00860829205732093
385,0,-0.02157133903606427,-0.0308765353046306
386,0,0.05779679681321852,0.05514283779810725
387,0,0.15094774969273103,0.20935848241458577
388,0,-0.00672995808847439,-0.10946239972672296
389,0,-0.04844008552901994,-0.09363365341115489
390,0,-0.01803181379280778,0.08688377645773837
391,1,-0.03258029819311851,-0.06075722929943659
392,1,0.04817352192870831,-0.01019260106937282
393,1,0.07653862954293202,0.10414681909814164
394,0,0.14595024716108318,0.17148315245075682
395,0,0.05664861254125503,0.00118015258348153
396,1,NA,-0.02855025255980857
397,1,-0.04075632724334521,-0.06839572128713983
398,0,-0.03007042436880486,-0.06278661282383886
399,0,-0.03365223985553488,-0.08279984682769921
400,1,0.00295808394754922,-0.01496619613728067
401,1,-0.03445545868677185,-0.03102276407372901
402,1,0.06573712612893698,0.02616247401956553
403,1,-0.06978330399402814,0.02647941892476738
404,1,-0.02671610074384965,-0.01010681551340632
405,0,0.02432320741862866,0.00758427510184535
406,0,-0.05277097791411715,-0.0313046830162262
407,0,-0.01804731908564583,-0.03529007582188793
408,1,0.02227544031975103,0.23076227802639235
409,1,0.03726117650223457,-0.01205982864677486
410,0,0.00237170792991554,-0.06737423596500608
411,0,-0.05574885857970489,-0.08120080528902722
412,0,-0.01403562155467732,0.1327123151060925
413,1,-0.09212417822361188,-0.10384969482535156
414,1,-0.05131842801605955,-0.03481466340351745
415,1,-0.00387219989445439,-0.02861751864263317
416,1,0.04308857114930267,0.01707856495796017
417,1,NA,0.01267753302761949
418,0,-0.00325139728047805,0.0113209922707298
419,1,NA,-0.01874745932118716
420,1,-0.00703404548666015,0.00314070805934099
421,1,1.5514388415299187e-4,-0.03755459765938021
422,1,-0.04229915300668821,-0.02136529846776575
423,1,0.0127350705985013,-0.08915049660155244
424,1,0.03017031199621063,0.02382138675301991
425,1,0.00821856857972216,0.02019149417625535
426,0,-0.02874658908291315,-0.02923028621778422
427,1,NA,0.02880079914031575
428,1,-0.07676943892042706,-0.06581924671404744
429,1,0.06979811723876751,0.04998982368308419
430,1,-0.01621603700358395,-0.02309989186772904
431,1,NA,0.15988291310904146
432,1,-0.09275497698675236,-0.0693145390314827
433,1,0.12260633191340928,0.114544475570643
434,0,NA,-0.01733685152150626
435,1,NA,-0.09022043988441772
436,1,-0.12260633191340932,-0.11454447557064223
437,1,NA,0.12622755924030837
438,1,NA,-0.02599092851388228
439,0,0.02874658908291421,0.02923028621778308
440,1,NA,-0.00889759375239187
441,1,0.02795873506483501,0.02920611507881787
442,1,0.08636583095951102,0.04566322372520587
443,0,0.01214079527715035,0.00197728926183397
444,1,NA,0.01651568155524221
445,0,-0.02171410772079046,-0.02806008962835526
446,1,0.04527638565401627,0.03924997859599743
447,1,0.08001990638825021,0.06310196970499254
448,1,NA,-1.9450190388515005e-15
449,0,-0.05671015948165345,-0.00653566707382989
450,1,NA,-0.1598829131090411
451,0,-0.08067536404569224,-0.02836035132982022
452,1,-0.05096685256783602,-0.05655285099138481
453,0,NA,0.02777872026844932
454,0,0.0257914790411654,0.01992982147293666
455,1,NA,0.01249519088203741
456,1,NA,0.03206085480744992
457,1,0.00667261666897827,0.00577859569711802
458,1,NA,-1.050452911237e-15
459,0,3.586988599379809e-17,6.305538739226808e-17
460,0,0.0577658090980428,0.07149911862019985
461,1,NA,0.02970386155765657
462,1,0.03860303625418398,0.0512452213096078
463,0,0.06315992540461855,0.04407892628618654
464,1,0.0075434007904489,0.00349952159506452
465,1,NA,0.06739009249328462
466,0,NA,-0.03244815510911503
467,0,-0.09394708635256284,-0.06147186544150798
468,0,-9.771683217834216e-4,0.00579971033759863
469,1,0.03726885335529522,0.01648828128390142
470,0,-0.04801973545443298,-0.03551807954363659
471,0,0.03459946432506016,0.07479218788577105
472,1,-0.02588182545259159,-0.05727603861442027
473,0,-0.03970922156138541,0.07553910962515657
474,1,-0.06315992540461855,-0.04407892628618622
475,1,0.26420492891251823,0.15817189135139215
476,1,-0.03491227573016102,-0.10874366802909406
477,1,NA,0.0332055417007867
478,1,-0.00311101262933455,-0.0208996000724265
