studentnum,e_ee_short_score,e_cs_score,expgrad4,e_attend_grad_school,reservation_stu,female,father_college,mother_college,age,miss_age,department_id,fac_reservation,fac_associate_professor,fac_professor,fac_yearsinhighed,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_degree_college_elite,fac_female
1218,NA,NA,1,1,1,1,0,0,19,0,IR036CS,3.75,1.935483870967742,0,107.41935483870968,1.25,3.4375,2.5,2.8125
1219,NA,0.32005400813490276,1,1,1,1,1,1,20,0,IR036CS,4.242424242424242,1.25,0.625,114.6875,1.818181818181818,3.030303030303031,3.0303030303030303,3.333333333333334
1220,NA,NA,1,NA,1,1,0,0,19,0,IR036CS,5,2.5806451612903225,1.935483870967742,118.70967741935485,2.1875,3.75,1.875,2.5
1221,NA,2.149517429435527,1,1,0,1,1,1,20,0,IR036CS,5.151515151515151,2.8125,1.875,120.625,2.121212121212121,3.0303030303030303,1.818181818181818,2.4242424242424243
1222,NA,-0.20264982652241847,1,0,1,1,0,0,20,0,IR036CS,5,1.875,0.625,118.125,3.125,1.875,3.125,1.25
1223,NA,1.8881655121068663,1,1,0,1,1,1,19,0,IR036CS,4.516129032258064,1,0.6666666666666666,114.33333333333334,1.9354838709677415,2.903225806451613,2.903225806451613,3.548387096774193
1224,NA,0.5814059254635634,1,0,0,1,1,0,20,0,IR036CS,4.838709677419355,2.333333333333333,2,119.33333333333334,2.258064516129032,3.870967741935484,1.9354838709677415,2.903225806451613
1225,NA,NA,1,0,1,1,1,0,19,0,IR036CS,5,2.5806451612903225,1.935483870967742,115.80645161290322,2.1875,3.4375,1.875,2.8125
1226,NA,1.626813594778206,1,0,0,1,1,1,20,0,IR036CS,5.3125,2.5806451612903225,2.258064516129032,122.25806451612904,2.5,3.125,1.875,2.5
1227,NA,NA,1,1,1,1,1,1,19,0,IR036CS,5.151515151515151,2.5,1.875,118.125,2.121212121212121,3.0303030303030303,1.818181818181818,2.4242424242424243
1228,NA,-0.7253536611797397,1,0,0,1,1,1,19,0,IR036CS,3.4375,1.935483870967742,0.3225806451612905,101.29032258064515,1.875,3.4375,3.125,2.1875
1229,NA,NA,1,1,1,1,0,0,19,0,IR036CS,5.625,2.258064516129032,1.935483870967742,117.09677419354838,2.1875,3.125,2.1875,2.5
1230,NA,-0.4640017438510791,1,1,1,1,1,0,20,0,IR036CS,3.9393939393939386,1.875,0.3125,109.375,1.5151515151515151,3.333333333333334,2.4242424242424243,2.7272727272727275
1231,NA,NA,1,0,1,1,1,1,19,0,IR036CS,5.454545454545454,2.1875,1.875,115.9375,2.121212121212121,3.333333333333334,2.121212121212121,2.727272727272727
1232,NA,1.626813594778206,1,0,0,1,1,0,19,0,IR036CS,5.3125,2.258064516129032,1.935483870967742,119.03225806451611,2.1875,3.75,2.1875,2.8125
1233,NA,-0.7253536611797397,1,0,1,1,1,1,19,0,IR036CS,4.0625,1.612903225806452,0.3225806451612905,110.64516129032258,1.5625,3.125,2.8125,2.8125
1234,NA,NA,1,1,0,1,0,1,19,0,IR036CS,5,2.903225806451613,1.935483870967742,122.58064516129032,2.1875,3.125,1.875,2.5
1235,NA,0.32005400813490276,1,1,0,1,1,0,20,0,IR036CS,5,2.903225806451613,1.935483870967742,122.58064516129032,2.1875,3.125,1.875,2.5
1236,NA,NA,1,0,0,1,0,0,20,0,IR036CS,4.193548387096774,2.6666666666666665,0,109.33333333333334,1.2903225806451617,3.870967741935483,2.903225806451613,2.903225806451613
1237,NA,NA,1,0,0,1,0,0,19,0,IR036CS,3.75,2.5806451612903225,0.3225806451612905,107.74193548387096,1.5625,4.0625,2.8125,2.8125
1238,NA,-0.4640017438510791,1,0,1,1,0,0,19,0,IR036CS,5,1.875,0.625,118.125,3.125,1.875,3.125,1.25
1239,NA,NA,1,0,1,1,1,0,19,0,IR036CS,4.6875,1.2903225806451617,1.2903225806451617,126.12903225806453,2.8125,2.5,3.125,3.4375
1240,NA,NA,1,1,0,1,1,0,20,0,IR036CS,5.161290322580645,2.0000000000000004,2,120,1.9354838709677415,3.225806451612904,1.9354838709677415,2.903225806451613
1241,NA,3,1,0,0,1,0,0,19,0,IR036CS,4,1.7241379310344829,0.34482758620689646,104.48275862068968,1.666666666666667,3.333333333333334,3,2
1242,NA,NA,1,1,0,1,1,0,19,0,IR036CS,5.161290322580645,2.666666666666667,2,120.33333333333331,2.258064516129032,3.870967741935484,1.9354838709677415,2.5806451612903225
1243,NA,1.1041097601208845,1,0,0,1,0,0,20,0,IR036CS,4.516129032258064,2.6666666666666665,0.33333333333333337,113.33333333333334,1.612903225806452,3.870967741935484,2.903225806451613,2.580645161290323
1244,NA,NA,1,0,1,1,0,0,20,0,IR036CS,4.545454545454545,1.25,0.625,114.6875,1.818181818181818,3.030303030303031,3.0303030303030303,3.333333333333334
1245,NA,NA,1,0,0,1,0,1,20,0,IR036CS,5.161290322580645,2.666666666666667,2,118.66666666666669,2.258064516129032,3.548387096774193,1.9354838709677415,2.5806451612903225
1246,NA,-0.7253536611797397,1,1,0,1,0,0,20,0,IR036CS,5,2.5806451612903225,1.935483870967742,120,2.1875,3.125,1.875,2.5
1247,NA,NA,1,1,0,1,0,0,19,0,IR036CS,5.161290322580645,2.666666666666667,2,120.33333333333331,2.258064516129032,3.870967741935484,1.9354838709677415,2.5806451612903225
1248,NA,-0.7253536611797397,1,0,1,1,1,0,19,0,IR036CS,5,1.875,0.625,118.125,3.125,1.875,3.125,1.25
1249,NA,-0.20264982652241847,1,0,1,1,0,0,19,0,IR036CS,5.151515151515151,2.5,1.875,118.125,2.121212121212121,3.0303030303030303,1.818181818181818,2.4242424242424243
1250,NA,NA,1,0,0,1,1,1,19,0,IR036CS,4.375,1.9354838709677415,0.3225806451612905,102.90322580645162,1.5625,3.4375,3.125,2.1875
1251,NA,0.842757842792224,1,0,1,1,1,0,20,0,IR036CS,4.242424242424242,1.25,0.9375,119.6875,2.121212121212121,3.030303030303031,3.0303030303030303,3.333333333333334
1252,NA,NA,1,0,1,1,0,0,18,0,IR036CS,4.545454545454545,1.25,0.625,114.6875,1.818181818181818,3.030303030303031,3.0303030303030303,3.333333333333334
1253,NA,-0.7253536611797397,1,0,1,1,0,0,20,0,IR036CS,4.545454545454545,1.25,0.9375,119.6875,2.121212121212121,3.030303030303031,3.0303030303030303,3.333333333333334
1254,NA,NA,0,NA,0,1,1,0,21,0,IR036CS,4.827586206896552,1.0344827586206895,1.0344827586206895,105.17241379310346,2.068965517241379,2.068965517241379,2.7586206896551726,3.4482758620689653
1255,NA,0.05870209080624213,1,1,1,1,1,1,20,0,IR036CS,5.3125,2.5806451612903225,1.935483870967742,117.41935483870968,2.1875,3.125,1.875,2.5
1256,NA,NA,1,1,1,1,0,0,20,0,IR036CS,5.161290322580645,2.666666666666667,2,121.66666666666666,2.258064516129032,3.225806451612904,1.9354838709677415,2.5806451612903225
1257,NA,NA,1,0,0,1,0,0,19,0,IR036CS,3.75,2.258064516129032,0.3225806451612905,106.12903225806453,1.25,4.0625,2.5,2.8125
1258,NA,-0.7253536611797397,1,0,1,1,1,0,19,0,IR036CS,4.242424242424242,1.25,0.625,114.6875,1.818181818181818,3.030303030303031,3.0303030303030303,3.333333333333334
1259,NA,0.32005400813490276,1,0,1,1,0,0,20,0,IR036CS,4.242424242424242,1.25,0.9375,119.6875,2.121212121212121,3.030303030303031,3.0303030303030303,3.333333333333334
1260,NA,-0.4640017438510791,1,0,0,1,1,0,19,0,IR036CS,4.0625,1.9354838709677415,0.6451612903225807,118.70967741935485,1.875,3.4375,2.8125,2.8125
1261,NA,NA,1,1,0,1,0,0,20,0,IR036CS,4.545454545454545,1.25,0.9375,119.6875,2.121212121212121,3.030303030303031,3.0303030303030303,3.333333333333334
1262,NA,NA,1,0,0,1,1,1,20,0,IR036CS,4.375,1.2903225806451617,0.6451612903225807,113.87096774193547,1.875,3.125,3.125,3.4375
1263,NA,-0.7253536611797397,1,0,1,1,0,0,19,0,IR036CS,4.0625,1.6129032258064515,0.967741935483871,125.48387096774194,2.1875,3.4375,3.125,3.4375
